pipeline,sample_id,sequence,frame_number,field_occlusion_label,auto_severity,status,mean_bone_length,left_right_bone_symmetry_error,joint_angle_feasibility
SAM-3DBody,field_all_fb_04580,MansoryBrickLaying_01,2917,severe_detected,full,ok,0.21631749725844474,0.010067089981286966,1.0
SAM-3DBody,field_all_fb_07222,MansoryBrickLaying_02,1731,severe_detected,severe,ok,0.28742603084460083,0.009126439011866211,1.0
SAM-3DBody,field_all_fb_07225,MansoryBrickLaying_02,1734,severe_detected,severe,ok,0.2858273522381287,0.010923274316842526,1.0
SAM-3DBody,field_all_fb_07250,MansoryBrickLaying_02,1759,severe_detected,severe,ok,0.2845035307217552,0.010589211642379493,1.0
SAM-3DBody,field_all_fb_07252,MansoryBrickLaying_02,1761,severe_detected,severe,ok,0.28491985248251156,0.011132965890135087,1.0
SAM-3DBody,field_all_fb_07255,MansoryBrickLaying_02,1764,severe_detected,severe,ok,0.2837921783840337,0.012745418463967309,1.0
SAM-3DBody,field_all_fb_07261,MansoryBrickLaying_02,1770,severe_detected,severe,ok,0.28283813668201735,0.011346467037509292,1.0
SAM-3DBody,field_all_fb_07263,MansoryBrickLaying_02,1772,severe_detected,severe,ok,0.2831616138718228,0.011309342128317107,1.0
SAM-3DBody,field_all_fb_07297,MansoryBrickLaying_02,1806,severe_detected,severe,ok,0.2723135303309807,0.013116116384324035,1.0
SAM-3DBody,field_all_fb_07299,MansoryBrickLaying_02,1808,severe_detected,severe,ok,0.27130004775408095,0.012442338311110529,1.0
SAM-3DBody,field_all_fb_07465,MansoryBrickLaying_02,1974,severe_detected,severe,ok,0.2855630218623824,0.00686140452226253,1.0
SAM-3DBody,field_all_fb_08546,MansoryBrickLaying_02,3055,severe_detected,severe,ok,0.280290582873074,0.00574727572340744,1.0
SAM-3DBody,field_all_fb_09191,MansoryBrickLaying_02,3700,severe_detected,severe,ok,0.2864146584330531,0.012481264833012588,1.0
SAM-3DBody,field_all_fb_09195,MansoryBrickLaying_02,3704,severe_detected,severe,ok,0.27781251059547973,0.015832270568339146,1.0
SAM-3DBody,field_all_fb_09795,MansoryBrickLaying_02,4304,severe_detected,severe,ok,0.28225317364837665,0.01073439731104739,1.0
