frame,Neck,Trunk,Leg,UpperArm,LowerArm,Wrist,A,B,C,Final
346,2,3,4,2,2,2,7,3,7,7
347,2,3,4,2,2,2,7,3,7,7
348,2,3,4,2,2,2,7,3,7,7
349,2,3,4,2,2,2,7,3,7,7
350,2,3,4,2,2,2,7,3,7,7
351,2,3,4,2,2,2,7,3,7,7
352,2,3,4,2,1,2,7,2,7,7
353,2,3,4,2,1,2,7,2,7,7
354,2,3,4,2,2,2,7,3,7,7
355,2,3,4,2,2,2,7,3,7,7
356,2,3,4,2,1,2,7,2,7,7
357,2,3,4,2,1,2,7,2,7,7
358,2,3,4,2,2,2,7,3,7,7
359,2,3,4,2,2,2,7,3,7,7
360,2,3,4,2,1,2,7,2,7,7
361,2,3,4,2,1,2,7,2,7,7
362,2,3,4,2,1,2,7,2,7,7
363,2,3,4,2,1,2,7,2,7,7
364,2,3,4,2,1,2,7,2,7,7
365,2,3,4,2,1,2,7,2,7,7
366,2,3,4,2,1,2,7,2,7,7
367,3,3,4,2,1,2,8,2,8,8
368,3,3,4,2,1,2,8,2,8,8
369,3,3,4,2,1,2,8,2,8,8
370,3,3,4,2,1,2,8,2,8,8
371,3,3,4,2,1,2,8,2,8,8
372,3,3,4,2,1,2,8,2,8,8
373,3,3,4,2,1,2,8,2,8,8
374,3,3,4,2,1,2,8,2,8,8
375,3,3,4,2,1,2,8,2,8,8
376,3,3,4,2,1,2,8,2,8,8
377,3,3,4,2,1,2,8,2,8,8
378,3,3,4,2,1,2,8,2,8,8
379,3,3,4,2,1,2,8,2,8,8
380,3,3,4,2,1,2,8,2,8,8
381,3,3,4,2,1,2,8,2,8,8
382,3,3,4,2,1,2,8,2,8,8
383,3,3,4,2,1,2,8,2,8,8
384,3,3,4,2,1,2,8,2,8,8
385,3,3,4,2,1,2,8,2,8,8
386,2,3,4,2,1,2,7,2,7,7
387,2,3,4,2,1,2,7,2,7,7
388,2,3,4,2,1,2,7,2,7,7
389,2,3,4,2,1,2,7,2,7,7
390,2,3,4,2,1,2,7,2,7,7
391,2,3,4,2,1,2,7,2,7,7
392,2,3,4,2,1,2,7,2,7,7
393,2,3,4,2,1,2,7,2,7,7
394,2,3,4,2,1,2,7,2,7,7
395,2,3,4,2,1,2,7,2,7,7
396,2,3,4,2,1,2,7,2,7,7
397,2,3,4,2,1,1,7,1,7,7
398,2,3,4,2,1,1,7,1,7,7
399,2,3,4,2,1,1,7,1,7,7
400,2,3,4,2,1,1,7,1,7,7
401,2,3,4,2,1,1,7,1,7,7
402,2,3,4,2,1,1,7,1,7,7
403,2,3,4,2,1,1,7,1,7,7
404,2,3,4,2,1,1,7,1,7,7
405,2,3,4,2,1,1,7,1,7,7
406,2,3,4,2,1,1,7,1,7,7
407,2,3,4,2,1,1,7,1,7,7
408,2,3,4,2,1,1,7,1,7,7
409,2,3,4,2,1,1,7,1,7,7
410,2,3,4,2,1,1,7,1,7,7
411,2,3,4,2,1,1,7,1,7,7
412,2,3,4,2,1,2,7,2,7,7
413,2,3,4,2,1,2,7,2,7,7
414,2,3,4,2,1,2,7,2,7,7
415,2,3,4,2,1,1,7,1,7,7
416,2,3,4,2,1,1,7,1,7,7
417,2,3,4,2,1,2,7,2,7,7
418,2,3,4,2,1,1,7,1,7,7
419,2,3,4,2,1,1,7,1,7,7
420,2,3,4,2,1,1,7,1,7,7
421,2,3,4,2,1,1,7,1,7,7
422,2,3,4,2,1,1,7,1,7,7
423,2,3,4,2,1,1,7,1,7,7
424,2,3,4,2,1,1,7,1,7,7
425,2,3,4,2,1,1,7,1,7,7
426,2,3,4,2,1,1,7,1,7,7
427,2,3,4,2,1,1,7,1,7,7
428,2,3,4,2,1,1,7,1,7,7
429,2,3,4,2,1,2,7,2,7,7
430,2,3,4,2,1,1,7,1,7,7
431,2,3,4,2,1,1,7,1,7,7
432,2,3,4,2,1,1,7,1,7,7
433,2,3,4,2,1,1,7,1,7,7
434,2,3,4,2,1,1,7,1,7,7
435,2,3,4,2,1,1,7,1,7,7
436,2,3,4,2,1,1,7,1,7,7
437,2,3,4,2,1,2,7,2,7,7
438,2,3,4,2,1,1,7,1,7,7
439,2,3,4,2,1,1,7,1,7,7
440,2,3,4,2,1,1,7,1,7,7
441,2,3,4,2,1,1,7,1,7,7
442,2,3,4,2,1,1,7,1,7,7
443,2,3,4,2,1,1,7,1,7,7
444,2,3,4,2,1,1,7,1,7,7
445,2,3,4,2,1,1,7,1,7,7
446,2,3,4,2,1,1,7,1,7,7
447,2,3,4,2,1,1,7,1,7,7
448,2,3,4,2,1,1,7,1,7,7
449,2,3,4,2,1,1,7,1,7,7
450,2,3,4,2,1,1,7,1,7,7
451,2,3,4,2,1,1,7,1,7,7
452,2,3,4,2,1,1,7,1,7,7
453,2,3,4,2,1,1,7,1,7,7
454,2,3,4,2,1,1,7,1,7,7
455,2,3,4,2,1,1,7,1,7,7
456,2,3,4,2,1,1,7,1,7,7
